Sub	Trial	Color	Period	Session	Path
50	1	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\50_1.bdf
50	2	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\50_2.bdf
50	3	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\50_3.bdf
50	1	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\50_1.bdf
50	2	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\50_2.bdf
50	3	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\50_3.bdf
50	1	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\50_1.bdf
50	2	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\50_2.bdf
50	3	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\50_3.bdf
50	1	r	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL1_7AM\50_1.bdf
50	2	r	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL1_7AM\50_2.bdf
50	3	r	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL1_7AM\50_3.bdf
50	1	r	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL2_11AM\50_1.bdf
50	2	r	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL2_11AM\50_2.bdf
50	3	r	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL2_11AM\50_3.bdf
50	1	r	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL3_3PM\50_1.bdf
50	2	r	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL3_3PM\50_2.bdf
50	3	r	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL3_3PM\50_3.bdf
50	1	w	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL1_7AM\50_1.bdf
50	2	w	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL1_7AM\50_2.bdf
50	3	w	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL1_7AM\50_3.bdf
50	1	w	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL2_11AM\50_1.bdf
50	2	w	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL2_11AM\50_2.bdf
50	3	w	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL2_11AM\50_3.bdf
50	1	w	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL3_3PM\50_1.bdf
50	2	w	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL3_3PM\50_2.bdf
